coleta_local,barragem,medida_em,percent_use,vertido,comportas,montante_local_m,detalhe
2026-08-28 19:30,Barragem Sul Ituporanga,28/08 19:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 19:49,Barragem Oeste Taió,28/08 19:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 19:49,Barragem Sul Ituporanga,28/08 19:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 20:00,Barragem Oeste Taió,28/08 19:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 20:00,Barragem Sul Ituporanga,28/08 19:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 20:19,Barragem Oeste Taió,28/08 20:08,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 20:19,Barragem Sul Ituporanga,28/08 20:08,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 20:30,Barragem Oeste Taió,28/08 20:29,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 20:30,Barragem Sul Ituporanga,28/08 20:29,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 20:49,Barragem Oeste Taió,28/08 20:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 20:49,Barragem Sul Ituporanga,28/08 20:48,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 21:00,Barragem Oeste Taió,28/08 20:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 21:00,Barragem Sul Ituporanga,28/08 20:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 21:19,Barragem Oeste Taió,28/08 21:18,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 21:19,Barragem Sul Ituporanga,28/08 21:18,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 21:30,Barragem Oeste Taió,28/08 21:28,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 21:30,Barragem Sul Ituporanga,28/08 21:26,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 21:49,Barragem Oeste Taió,28/08 21:48,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 21:49,Barragem Sul Ituporanga,28/08 21:47,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
2026-08-28 22:00,Barragem Oeste Taió,28/08 21:58,0.01,0,7A/0F,2.7,C1:A;C2:A;C3:A;C4:A;C5:A;C6:A;C7:A
2026-08-28 22:00,Barragem Sul Ituporanga,28/08 21:56,0.0,0,5A/0F,3.5,C1:A;C2:A;C3:A;C4:A;C5:A
