coleta_local,codigo,papel,leitura,nivel_m,tendencia,chuva_1h,chuva_6h,chuva_24h,chuva_48h,chuva_72h
2026-08-28 15:30,DCSC-00129,Braço do Trombudo,2026-08-28 15:30,,,0.0,0.0,0.0,0.0
2026-08-28 15:30,DCSC-00146,Petrolândia,2026-08-28 15:30,876.67,,0.0,0.0,0.0,0.0
2026-08-28 15:30,DCSC-00162,Mirim Doce,2026-08-28 15:30,348.53,,0.0,0.0,0.0,0.0
2026-08-28 15:30,DCSC-00171,Taió (H),2026-08-28 15:30,339.95,,0.0,0.2,0.4,0.8
2026-08-28 15:30,DCSC-00179,Rio do Oeste,2026-08-28 15:30,331.83,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00001,SDC-SC Agronômica,2026-08-28 16:00,1.9,-0.71,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00008,SDC-SC Aurora,2026-08-28 16:00,,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00010,SDC-SC Rio do Campo,2026-08-28 16:00,,,0.0,0.9,0.9,1.1
2026-08-28 16:00,DCSC-00013,SDC-SC Rio do Sul,2026-08-28 16:00,2.13,-0.06,0.0,0.2,0.3,0.8
2026-08-28 16:00,DCSC-00014,SDC-SC Trombudo Central 1,2026-08-28 16:00,,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00016,SDC-SC Alfredo Wagner,2026-08-28 16:00,,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00022,SDC-SC Rio do Oeste,2026-08-27 08:57,,,,,,
2026-08-28 16:00,DCSC-00025,SDC-SC Agrolândia,2026-08-28 16:00,0.58,-0.04,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00031,SDC-SC Laurentino,2026-08-28 16:00,,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00033,SDC-SC Pouso Redondo,2026-08-28 16:00,1.4,0.01,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00035,SDC-SC Trombudo Central 2,2026-08-28 16:00,1.47,1.43,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00038,Barragem Sul Ituporanga,2026-08-28 16:00,17.59,17.66,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00039,SDC-SC Ituporanga,2026-08-28 16:00,1.32,-0.09,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00040,Barragem Oeste Taió,2026-08-28 16:00,2.7,-3.6,0.0,0.0,0.0,0.1
2026-08-28 16:00,DCSC-00041,SDC-SC Taió,2026-08-28 16:00,1.79,0.04,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00065,SDC-SC Salete (H),2026-08-28 16:00,399.67,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00066,SDC-SC Taio (H),2026-08-28 16:00,376.74,,0.2,0.2,0.2,0.2
2026-08-28 16:00,DCSC-00067,SDC-SC Aurora (H),2026-08-28 16:00,341.66,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00085,Ituporanga (H),2026-08-28 16:00,361.13,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00086,Atalanta (H),2026-08-28 16:00,911.88,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00087,Alfredo Wagner (H),2026-08-28 16:00,455.31,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00125,Rio do Campo (H),2026-08-28 16:00,575.63,,0.0,0.6,0.6,2.6
2026-08-28 16:00,DCSC-00129,Braço do Trombudo,2026-08-28 16:00,,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00146,Petrolândia,2026-08-28 16:00,876.66,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00162,Mirim Doce,2026-08-28 16:00,348.55,,0.0,0.0,0.0,0.0
2026-08-28 16:00,DCSC-00171,Taió (H),2026-08-28 16:00,339.96,,0.0,0.2,0.4,0.8
2026-08-28 16:00,DCSC-00179,Rio do Oeste,2026-08-28 16:00,331.83,,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00001,SDC-SC Agronômica,2026-08-28 16:30,1.9,-0.71,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00008,SDC-SC Aurora,2026-08-28 16:30,,,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00010,SDC-SC Rio do Campo,2026-08-28 16:30,,,0.0,0.9,0.9,1.1
2026-08-28 16:30,DCSC-00013,SDC-SC Rio do Sul,2026-08-28 16:30,2.12,-0.07,0.0,0.1,0.3,0.7
2026-08-28 16:30,DCSC-00014,SDC-SC Trombudo Central 1,2026-08-28 16:30,,,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00016,SDC-SC Alfredo Wagner,2026-08-28 16:30,,,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00022,SDC-SC Rio do Oeste,2026-08-27 08:57,,,,,,
2026-08-28 16:30,DCSC-00025,SDC-SC Agrolândia,2026-08-28 16:30,0.58,-0.04,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00031,SDC-SC Laurentino,2026-08-28 16:30,,,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00033,SDC-SC Pouso Redondo,2026-08-28 16:30,1.4,0.01,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00035,SDC-SC Trombudo Central 2,2026-08-28 16:30,1.47,1.43,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00038,Barragem Sul Ituporanga,2026-08-28 16:30,17.86,17.93,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00039,SDC-SC Ituporanga,2026-08-28 16:30,1.32,-0.09,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00040,Barragem Oeste Taió,2026-08-28 16:30,2.7,-3.6,0.0,0.0,0.0,0.1
2026-08-28 16:30,DCSC-00041,SDC-SC Taió,2026-08-28 16:30,1.79,0.04,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00065,SDC-SC Salete (H),2026-08-28 16:30,399.68,,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00066,SDC-SC Taio (H),2026-08-28 16:30,376.68,,0.0,0.2,0.2,0.2
2026-08-28 16:30,DCSC-00067,SDC-SC Aurora (H),2026-08-28 16:30,341.65,,0.0,0.0,0.0,0.0
2026-08-28 16:30,DCSC-00085,Ituporanga (H),2026-08-28 16:30,361.13,,0.0,0.0,0.0,0.0
